Sample Number,Juice/Wine,Skin colour,Flesh colour,Catechin,Epicatechin,Caftaric-acid,Caffeic-acid,Malv-Glu,Total Flavan-3-ols,Total Hydroxycinnamic acids,Total Flavonols,Total anthocyanins,Total Phenolics
144,AF,green,green,0,"7,32062168575333","2,30918706181416",0,0,"782,638320615998","2,30918706181416","6,09869301767319",0,"791,046200695486"
144,BF,green,green,"201,973966481163",0,0,0,0,"998,357102301756","4,11038449708764","12,9494313333763",0,"1015,41691813222"
146,AF,red,red,"37,0100828263665","65,2973041167431","7,45963744348241","0,839930590042178","206,215785494457","1180,93257261651","21,4291906652857","37,8403496000701","278,576724778353","1518,77883766022"
146,BF,red,red,"28,1995589622781","98,1257327791551","8,07601176178157","3,69517551996979","387,554398047002","1335,66311015939","53,4634259230262","87,6270213779233","670,401254965543","2147,15481242588"
149,AF,red,green,"3,44755905999986",0,0,0,"56,1617768733921","395,282313519243",0,"10,8984522055876","62,2618570708583","468,442622795689"
149,BF,red,green,"132,44970902016",0,0,"1,36686468176141","83,2298707846593","772,1743729405","5,63714855844427","19,579945159529","106,011145650248","903,402612308721"
154,AF,red,red,"35,7073484382639","87,7548919288528",0,"2,75530273244583","442,01361496725","1123,84801741556","31,2560052262584","52,9094302957807","726,361610688915","1934,37506362651"
154,BF,red,red,"79,3009948375022","230,758688665056",0,"11,0892121021574","591,64329966398","1842,14910699741","75,2871954103191","71,0399044392686","1139,89783625538","3128,37404310238"
157,AF,green,green,"14,7157291201009","6,28666412869017","2,88441549760044",0,0,"438,46213019269","2,88441549760044","10,484893332599",0,"451,83143902289"
157,BF,green,green,"8,03113583344736","7,82716519009067",0,0,0,"535,737714618993",0,"17,7074907914447",0,"553,445205410438"
166,AF,red,green,"21,9698395527841","19,4012871955174","2,34163664350909",0,"85,3973683479624","782,070637171689","2,34163664350909","19,5632984735927","104,930561873588","908,906134162378"
166,BF,red,green,"90,7437282740359","28,4298906728024",0,0,"163,766011876144","481,774203954201","7,60936060547173","38,8613224679231","218,052381034639","746,297268062235"
168,AF,red,red,"22,0195981532239","31,6248524419675","2,97974731802819",0,"296,280134084315","753,144516550609","17,5604967116936","52,4664902560296","413,403020708603","1236,57452422694"
168,BF,red,red,"289,440121292502","296,408069666394","5,04215604877198","2,90887072768849","689,050263438776","2701,26608934159","72,2575847014543","67,8499423997374","1275,98076891201","4117,35438535479"
172,BF,red,green,"212,801635493719","31,2155780441179","3,23416597704098","12,0440042693876","263,455920592529","664,627552624893","31,4860948603724","65,427334618844","385,820551697509","1147,36153380162"
172,AF,red,green,"12,9359718954479","10,1307721241349",0,0,"78,2754229043925","412,815511951745",0,"19,0243160176031","95,3237116658952","527,163539635244"
176,AF,red,red,"11,210114771255",0,"6,95686488636946",0,"268,90111920584","713,697212830661","19,7306854003425","43,2219412735896","368,556440697941","1145,20628020253"
176,BF,red,red,"65,4213408021057","176,293099620773","7,666421966284","3,58518736885013","424,035146448007","1933,76418496902","59,1744893640764","60,413222590251","748,903069040492","2802,25496596384"
179,AF,green,green,"17,4805942453379","8,96205799111316",0,0,0,"421,368681679199",0,"6,95044061382334",0,"428,319122293022"
179,BF,green,green,"10,6247933845019","10,0344707994617",0,"1,11178099065651","0,877374660529931","582,300859889303","2,15389017020067","13,0890574661276","0,877374660529931","598,421182186161"
183,AF,green,green,0,0,0,0,0,"309,052233266781",0,"3,38579533186956",0,"312,43802859865"
183,BF,green,green,0,0,0,0,0,"678,322932123005",0,"8,1015083619521",0,"686,424440484957"
184,AF,red,green,"14,572119122559","7,49818629850775",0,0,"194,861894369123","746,903180304269","3,18210583304601","26,0525793259321","242,973551736881","1019,11141720013"
184,BF,red,green,"8,63688239959433","37,659333720408",0,"4,32948504532174","364,007745925842","1278,90382931309","17,9205183809862","39,8744056067764","511,639081771383","1848,33783507223"
197,AF,red,green,"5,32082065253237",0,0,0,"76,2277001093419","464,600810531081","2,48481919327761","19,1256912853161","90,8502045011855","577,061525510861"
197,BF,red,green,"41,8391029339213","13,8339694538963",0,"5,1174477102494","118,109788471273","957,769791840628","11,6333517352274","40,6610147794456","151,901097494247","1161,96525584955"
201,AF,red,red,"70,0328833068293","127,185086138255","8,95489632638588",0,"315,692527398727","1410,65782675398","20,1293478130768","61,6850887922755","484,245202411022","1976,71746577036"
201,BF,red,red,"51,97139705906","339,407933940025","9,94543748977651","1,00249253509403","451,891873211573","2080,71957145895","60,9176052377249","83,918332914239","1033,12699048531","3258,68250009623"
