Sample AF(wine),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
1,red,red,"3,32","0,24446000846576","1,31456382483538","7,134736239616","6,78734967810884","0,206630872238004",0,0,"0,342378373804867","5,9750179639313",0,"64,218599029947","8,09818398864401","8,13676435937699","8,1174741740105","15,687740623264","0,342378373804867","70,1936169938783"
2,green,green,"3,3","0,0966944337198162","1,34141216661723","3,93340627882583","7,42021909339425","0,490824374111204",0,0,0,"8,1086962249688","0,391522947987218","76,1836537917721","9,60701813263205","9,65278670515587","9,62990241889396","13,2825563466683",0,"84,6838729647282"
23,red,red,"3,16","0,283205456165345","3,28392445772573","5,02294681758963","7,2716501481957","0,366746875234956","0,173474782627278",0,"1,12144339632979","6,59445895174503","0,306845101305134","64,1976409138421","8,09554109884516","8,13410887864808","8,11482498874662","16,4019485375386","1,12144339632979","71,0989449668923"
30,red,red,"3,33","0,138329041425771","1,23221985445923","4,16693019355483","4,61588266507559","0,608185955668454","0,180525804563959",0,0,"8,11387421506155","0,97204085460182","87,5763134103159","11,0436713001659","11,0962841987629","11,0699777494644","10,9420735147478",0,"96,6622284799793"
32,red,green,"3,28","0,114979354496789","0,584118303910581","2,85058557478159","1,90552937142397","0,575272248230361",0,0,"1,96645075811345","8,84579947012047","0,616338193210999","91,6430405691413","11,5564994412536","11,611555492517","11,5840274668853","6,03048485284329","1,96645075811345","100,797009135867"
34,green,green,"3,29","0,133738526379344","2,43489206858188","3,09127909085346","3,23640490132608","0,610711455883984","0,285483995748275",0,0,"8,27146365129859",0,"80,0336191737404","10,0925118756293","10,1405933776469","10,1165526266381","9,79251003877302",0,"88,3050828250389"
41,red,red,"3,35","0,180700896386406","4,82240001884751","3,22838289740088","4,01345667874302","0,601517516138718",0,0,"0,0827269018159974","8,89144813732662",0,"89,0941728863213","11,2350785480859","11,2886033255184","11,2618409368022","12,8464580075165","0,0827269018159974","97,9856210236479"
47,red,red,"3,32","0,12925833280909","1,28812998046105","3,95110162769066","10,6280894342203","0,463743876648371",0,0,"0,300322695018857","7,82451022789516",0,"84,0222176619385","10,595487725339","10,64596544295","10,6207265841445","16,4603232518294","0,300322695018857","91,8467278898337"
55,green,green,"3,12","0,157875738598395","4,73391195630183","3,45162948035842","3,57272629035859","0,516058069537809",0,0,"0,156419920741188","9,06081166593446",0,"89,2584645759009","11,2557962895209","11,3094197678654","11,2826080286932","12,432201535155","0,156419920741188","98,3192762418353"
58,red,green,"3,06","0,176075897684377","3,35398192546957","3,55560184347946","10,9750883971807","0,194679567055222",0,"69,9822900156494","37,5495964960353","3,56008580264595",0,"33,9189569592815","4,2772959595563","4,29767332614686","4,28748464285158","18,2554276308693","72,54074150386","37,4790427619274"
