Sample BF (must),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
129,green,green,"3,46","0,173025723258425","2,86451435153596","3,38341963392518","3,67627066996524",0,0,"92,4738681060109","96,0015953706799","0,963729630816751","0,632424101379187","5,5621188669922","0,701402126985145","0,704743660609218","0,703072893797181","10,0972303786848","188,475463476691","6,84206054849854"
130,red,red,"3,46","0,312269603746991","3,41008271385066","4,28719474873627","7,26615333126072","1,18167561153093",0,"76,7990635625395","86,0053146941509","0,417556358143374",0,"2,0516441929724","0,25871931815541","0,25995187686539","0,2593355975104","16,4573760091256","162,80437825669","2,46920055111578"
141,red,red,"3,13","0,326242673643489","4,37189089905745","5,82829220546284","2,35796324930752",0,0,"55,8557310434943","62,6742287094904",0,0,"0,617489770559552","0,0778675624917468","0,0782385295422878","0,0780530460170173","12,8843890274713","118,529959752985","0,617489770559552"
144,green,green,"3,27","0,211653716829281","3,01936759003531","2,64039908194236","8,22393290667936",0,0,"98,4108886047591","107,577689788335","0,2281189095609",0,"0,765004916611922","0,0964697246673294","0,0969293138477424","0,0966995192575359","14,0953532954863","205,988578393094","0,993123826172822"
146,red,red,"3,26","0,26450311954067","3,56830313983181","7,9683780055005","2,33389419089603",0,0,"68,0893519566473","69,9688367739821","1,65225905105335","4,1669583301454","9,74057829271436","1,22832008735364","1,23417189862581","1,23124599298973","14,135078455769","138,058188730629","15,5597956739131"
149,red,green,"3,3","0,204480696993767","2,80716628668087","2,2378286981304","1,24633522463985",0,0,"58,4295586141716","62,7522157098967","2,04402252471924",0,"9,27606830028561","1,1697437957485","1,17531654506685","1,17253017040768","6,49581090644488","121,181774324068","11,3200908250049"
151,red,red,"3,12","0,338962492094761","4,98696455902778","6,600706097396","4,70127608195305",0,0,"46,7221567650636","46,5833911536852","0,649256919007558",0,"2,85295019442895","0,359766733219287","0,361480689578449","0,360623711398868","16,6279092304716","93,3055479187488","3,50220711343651"
154,red,red,"3,2","0,567355337401402","4,15306951948994","6,25279110647118","4,36293295365915",0,0,"76,0734470293009","79,2052870599908","0,291978048098181",0,"1,89986440581964","0,239579370216852","0,240720744744265","0,240150057480559","15,3361489170217","155,278734089292","2,19184245391782"
157,green,green,"3,3","0,206187714231359","1,85385547462434","3,89368128052076","2,72509925784314",0,0,"72,1188124374315","78,2371770177131","0,488002418120474",0,"2,7113718746799","0,341913225054212","0,343542125928729","0,342727675491471","8,6788237272196","150,355989455145","3,19937429280038"
166,red,green,"3,35","0,169498643068953","1,8392180816094","3,62537527745268","4,61644343928592",0,0,"65,314124483816","69,2410159539426","0,789887626093507","0,992720336457617","3,82105224496221","0,48184769797758","0,484143257432746","0,482995477705163","10,250535441417","134,555140437759","5,60366020751333"
168,red,red,"3,4","0,295206124188243","4,99465377027524","2,99727306752295","8,60587720478997",0,0,"66,2544592600923","72,0749511063352","2,89889044816585",0,"13,3841760393353","1,68779016889475","1,69583093093804","1,69181054991639","16,8930101667764","138,329410366428","16,2830664875012"
